"workload","baseline_1_ns","baseline_2_ns","baseline_3_ns","candidate_1_ns","candidate_2_ns","candidate_3_ns","baseline_median_ns","candidate_median_ns","latency_reduction_percent","perf_profile_ns"
"insert/k8","583.582","727.869","606.415","436.237","475.092","444.342","606.415","444.342","26.73","426.691"
"read_hit/k8","201.69","219.488","210.565","212.71","206.656","206.516","210.565","206.656","1.86","195.284"
"read_miss/k8","211.552","212.754","221.307","214.669","213.286","211.313","212.754","213.286","-0.25","207.7"
"update_grow/k8","967.393","996.873","960.51","614.995","635.632","601.596","967.393","614.995","36.43","599.309"
"scan/k8","15.595","16.941","16.217","15.461","16.314","15.911","16.217","15.911","1.89","14.36"
"insert/k32","618.414","649.286","785.327","473.511","538.062","495.605","649.286","495.605","23.67","460.907"
"read_hit/k32","259.494","265.013","274.45","241.749","242.12","238.809","265.013","241.749","8.78","234.387"
"read_miss/k32","284.968","285.17","278.44","267.619","271.251","256.453","284.968","267.619","6.09","256.145"
"update_grow/k32","1058.955","1003.928","1037.9","709.694","755.78","655.94","1037.9","709.694","31.62","685.327"
"scan/k32","29.292","30.317","24.525","29.027","22.796","21.78","29.292","22.796","22.18","23.666"
"insert/k128","1043.536","891.565","878.363","1156.146","814.99","617.822","891.565","814.99","8.59","648.016"
"read_hit/k128","378.345","374.237","358.136","399.669","363.705","335.028","374.237","363.705","2.81","340.564"
"read_miss/k128","367.419","358.284","382.784","376.726","379.234","377.441","367.419","377.441","-2.73","345.509"
"update_grow/k128","1177.644","1181.96","1162.141","797.05","875.543","914.774","1177.644","875.543","25.65","824.045"
"scan/k128","42.157","40.277","41.816","38.644","52.683","38.948","41.816","38.948","6.86","36.622"
